Project Name,Category,Tool 1,Tool 2,Tool 3,Tool 4,Description,Role,Year,Link,Image1,Image2,Image3,Image4,Image5,Thumbnail,Thumbnail 2
Skors,Digital Products,React,HTML,CSS,JS,Creating a technical identity for tree care. High-performance site with optimized lead conversion.,Web Designer & Developer,2025,https://skors.be/,https://d4dev.be/Images/Skors_img_1.png,https://d4dev.be/Images/Skors_img_2.png,https://d4dev.be/Images/Skors_img_3.png?v=2,,,https://d4dev.be/Images/Skors_Thumbnail.png,https://d4dev.be/Images/Skors_Thumbnail_2.png
MyTalentBuilder,Digital Products,Figma,,,,"Need for a clean, local service landing page. Minimalist UI with clear call-to-actions for services.",UX/UI Designer,2025,https://www.mytalentbuilder.com/en,https://d4dev.be/Images/MTB_img_1.png,https://d4dev.be/Images/MTB_img_2.png,https://d4dev.be/Images/MTB_img_3.png,,,https://d4dev.be/Images/MTB_Thumbnail.png,https://d4dev.be/Images/MTB_Thumbnail_2.png
D4Dev,Digital Products,React,Three.js,GSAP,PHP,Showcase website for development projects,Web Designer & Developer,2026,https://rootsandchalice.be/jamaica/,https://d4dev.be/Images/D4Dev_img_1.png,https://d4dev.be/Images/D4Dev_img_2.png,https://d4dev.be/Images/D4Dev_img_3.png,,,https://d4dev.be/Images/D4Dev_Thumbnail.png,https://d4dev.be/Images/D4Dev_Thumbnail_2.png
LavaDub,Brand & Visuals,Photoshop,Illustrator,Indesign,Figma,90s inspired poster design for Dub event,Digital & Graphic Designer,2018-2019,,https://d4dev.be/Images/Lavadub_img_1.png,https://d4dev.be/Images/Lavadub_img_2.png,https://d4dev.be/Images/Lavadub_img_3.png,,,https://d4dev.be/Images/Lavadub_Thumbnail.png,https://d4dev.be/Images/Lavadub_Thumbnail_2.png
Jamrock,Brand & Visuals,Photoshop,Illustrator,Indesign,Figma,Block letter style poster design for dance,Digital & Graphic Designer,2019-2020,,https://d4dev.be/Images/Jamrock_img_1.png,https://d4dev.be/Images/Jamrock_img_2.png,https://d4dev.be/Images/Jamrock_img_3.png,,,https://d4dev.be/Images/Jamrock_Thumbnail.png,https://d4dev.be/Images/Jamrock_Thumbnail_2.png
Stand Tall,Brand & Visuals,Photoshop,Illustrator,Indesign,Figma,Artwork for event at STUK ,Digital & Graphic Designer,2018-2019,,https://d4dev.be/Images/Standtall_img_1.png,https://d4dev.be/Images/Standtall_img_2.png,https://d4dev.be/Images/Standtall_img_3.png,,,https://d4dev.be/Images/Standtall_Thumbnail.png,https://d4dev.be/Images/Standtall_Thumbnail_2.png
Digital Illustrations,Fine Art,Wacom,Photoshop,Illustrator,,A collection of digital illustrations,Digital Artist,2023,,https://d4dev.be/Images/Digital_img_1.png,https://d4dev.be/Images/Digital_img_2.png,https://d4dev.be/Images/Digital_img_3.png,https://d4dev.be/Images/Digital_img_4.png,https://d4dev.be/Images/Digital_img_5.png,https://d4dev.be/Images/Digital_Thumbnail.png,https://d4dev.be/Images/Digital_Thumbnail_2.png
Watercolor,Fine Art,Brushes,Watercolor,Paper,,A collection of water paintings,Painter,2024,,https://d4dev.be/Images/Watercolor_img_1.png,https://d4dev.be/Images/Watercolor_img_2.png,https://d4dev.be/Images/Watercolor_img_3.png,https://d4dev.be/Images/Watercolor_img_4.png,https://d4dev.be/Images/Watercolor_img_5.png,https://d4dev.be/Images/Watercolor_Thumbnail.png,https://d4dev.be/Images/Watercolor_Thumbnail_2.png
Paintings,Fine Art,Brushes,Acrylics,Canvas,,A collection of Acrylic Painings,Painter,2025,,https://d4dev.be/Images/Painting_img_1.png,https://d4dev.be/Images/Painting_img_2.png,https://d4dev.be/Images/Painting_img_3.png,https://d4dev.be/Images/Painting_img_4.png,https://d4dev.be/Images/Painting_img_5.png,https://d4dev.be/Images/Painting_Thumbnail.png,https://d4dev.be/Images/Painting_Thumbnail_2.png
Graphic Novel,Fine Art,Sketches,Digital Coloring,Pen,Paper,A Graphic Novel about Halong Bay,Graphic Novelist,,,https://d4dev.be/Images/Halong_img_1.png,https://d4dev.be/Images/Halong_img_2.png,https://d4dev.be/Images/Halong_img_3.png,https://d4dev.be/Images/Halong_img_4.png,,https://d4dev.be/Images/Halong_Thumbnail.png,https://d4dev.be/Images/Halong_Thumbnail_2.png
